epoch,norm,lr,mm,wd,test_loss,test_accuracy,type
1,BN,0.01,0.5,0.0,1.5931635912259423,0.4322333333333333,used
1,BN,0.01,0.9,1e-05,1.4594846554597218,0.4784333333333333,best
1,GN,0.01,0.5,0.0,2.0044281752904256,0.2316,used
1,GN,0.01,0.9,1e-05,2.16837436636289,0.18226666666666666,best
2,BN,0.01,0.5,0.0,1.2316400533914569,0.5709000000000001,used
2,BN,0.01,0.9,1e-05,1.1494316154718398,0.6033000000000001,best
2,GN,0.01,0.5,0.0,1.8226140554745995,0.31960000000000005,used
2,GN,0.01,0.9,1e-05,1.9740105454126995,0.2684333333333333,best
3,BN,0.01,0.5,0.0,1.1461374853054682,0.6177,used
3,BN,0.01,0.9,1e-05,0.9322678897778193,0.6814666666666667,best
3,GN,0.01,0.5,0.0,1.8853156562646232,0.3252,used
3,GN,0.01,0.9,1e-05,1.8543165640036265,0.3084,best
4,BN,0.01,0.5,0.0,0.9268518225351969,0.6837,used
4,BN,0.01,0.9,1e-05,0.74754612694184,0.7475,best
4,GN,0.01,0.5,0.0,1.7074824357032776,0.3838,used
4,GN,0.01,0.9,1e-05,1.6252116902669271,0.39916666666666667,best
5,BN,0.01,0.5,0.0,0.8555041420459748,0.7099666666666667,used
5,BN,0.01,0.9,1e-05,0.6672216226657232,0.774,best
5,GN,0.01,0.5,0.0,1.5714420096079509,0.4454666666666667,used
5,GN,0.01,0.9,1e-05,1.4799784115950267,0.4506333333333334,best
6,BN,0.01,0.5,0.0,0.7566410829623541,0.7551333333333332,used
6,BN,0.01,0.9,1e-05,0.5974290318290393,0.8041,best
6,GN,0.01,0.5,0.0,1.5778443582852681,0.45693333333333336,used
6,GN,0.01,0.9,1e-05,1.5380739430586496,0.47013333333333335,best
7,BN,0.01,0.5,0.0,0.6816117613514265,0.7721666666666667,used
7,BN,0.01,0.9,1e-05,0.5606876010696094,0.8151333333333334,best
7,GN,0.01,0.5,0.0,1.397388560771942,0.5112,used
7,GN,0.01,0.9,1e-05,1.3775189475218454,0.5075666666666666,best
8,BN,0.01,0.5,0.0,0.6350206444660822,0.7925333333333334,used
8,BN,0.01,0.9,1e-05,0.5300066597263018,0.8216666666666667,best
8,GN,0.01,0.5,0.0,1.280316089987755,0.5458666666666666,used
8,GN,0.01,0.9,1e-05,1.1274220250050226,0.5973666666666667,best
9,BN,0.01,0.5,0.0,0.6247872943679491,0.7935333333333333,used
9,BN,0.01,0.9,1e-05,0.5203556697567304,0.8320333333333334,best
9,GN,0.01,0.5,0.0,1.2531172446409862,0.5689,used
9,GN,0.01,0.9,1e-05,1.0826937611897787,0.6178666666666667,best
10,BN,0.01,0.5,0.0,0.589957047700882,0.8071999999999999,used
10,BN,0.01,0.9,1e-05,0.45727254341046014,0.8493333333333334,best
10,GN,0.01,0.5,0.0,1.1611647280057271,0.5860333333333334,used
10,GN,0.01,0.9,1e-05,1.0143471624453861,0.6467999999999999,best
11,BN,0.01,0.5,0.0,0.5671664867798487,0.8169333333333334,used
11,BN,0.01,0.9,1e-05,0.47071789965033534,0.8475666666666667,best
11,GN,0.01,0.5,0.0,1.1180703075726826,0.6133000000000001,used
11,GN,0.01,0.9,1e-05,0.9939508086442949,0.6564666666666666,best
12,BN,0.01,0.5,0.0,0.5739538762966792,0.8178666666666667,used
12,BN,0.01,0.9,1e-05,0.4489630753795306,0.8574333333333334,best
12,GN,0.01,0.5,0.0,1.0406884348392484,0.6451666666666667,used
12,GN,0.01,0.9,1e-05,0.8927152589956919,0.6849666666666666,best
13,BN,0.01,0.5,0.0,0.5441985940933227,0.8288333333333333,used
13,BN,0.01,0.9,1e-05,0.48175423552592594,0.8524666666666666,best
13,GN,0.01,0.5,0.0,0.9762484447161356,0.6547666666666667,used
13,GN,0.01,0.9,1e-05,0.7788505060474078,0.7340333333333334,best
14,BN,0.01,0.5,0.0,0.5129459205766519,0.8410000000000001,used
14,BN,0.01,0.9,1e-05,0.4390074867506822,0.8647999999999999,best
14,GN,0.01,0.5,0.0,0.8925560480356216,0.6940333333333334,used
14,GN,0.01,0.9,1e-05,0.7812498245636622,0.7322333333333333,best
