epoch,norm,train_loss,test_loss,test_accuracy,seed,lr,mm,wd
32,BN,0.021696713259396,0.4070544435083866,0.9169,0,0.01,0.9,1e-05
33,BN,0.0195647755374565,0.4114103226363659,0.919,0,0.01,0.9,1e-05
34,BN,0.017803701680236,0.4170962930470705,0.9201,0,0.01,0.9,1e-05
35,BN,0.016619285019195,0.4313446198403835,0.9199,0,0.01,0.9,1e-05
36,BN,0.0156605017807363,0.4500522288680076,0.919,0,0.01,0.9,1e-05
37,BN,0.0153202567890565,0.4545829348266125,0.9189,0,0.01,0.9,1e-05
38,BN,0.0156354350014798,0.4370651108026504,0.9195,0,0.01,0.9,1e-05
39,BN,0.012257315061541,0.4415033877640962,0.9215,0,0.01,0.9,1e-05
40,BN,0.0124638758405037,0.4550559970736503,0.9181,0,0.01,0.9,1e-05
41,BN,0.0103232309357245,0.4614204571396112,0.9199,0,0.01,0.9,1e-05
42,BN,0.009904810886942,0.4701572021842002,0.9204,0,0.01,0.9,1e-05
43,BN,0.0094608884771502,0.4583462439477443,0.9222,0,0.01,0.9,1e-05
44,BN,0.0073069068706309,0.4794620402902365,0.921,0,0.01,0.9,1e-05
45,BN,0.0088447927244585,0.4684078656136989,0.9225,0,0.01,0.9,1e-05
46,BN,0.0075244364140959,0.4837770120799541,0.9224,0,0.01,0.9,1e-05
47,BN,0.0073670291604892,0.4897671577334404,0.9217,0,0.01,0.9,1e-05
48,BN,0.0064922614155433,0.5037480555474758,0.9217,0,0.01,0.9,1e-05
49,BN,0.0068007515300639,0.4948653358966112,0.9213,0,0.01,0.9,1e-05
50,BN,0.0069139020862397,0.4963871552050113,0.9233,0,0.01,0.9,1e-05
1,BN,1.832117495329484,1.4799472355842591,0.5017,128,0.01,0.9,1e-05
2,BN,1.2379272383497195,1.2544697576761246,0.5851,128,0.01,0.9,1e-05
3,BN,0.966091465919524,0.898784636259079,0.6847,128,0.01,0.9,1e-05
4,BN,0.7624718754950082,0.7313930326700211,0.7517,128,0.01,0.9,1e-05
5,BN,0.6267349067551401,0.6505330586433411,0.7819,128,0.01,0.9,1e-05
6,BN,0.547942068265832,0.5495537355542183,0.8184,128,0.01,0.9,1e-05
7,BN,0.4821378990359928,0.5536109179258346,0.8166,128,0.01,0.9,1e-05
8,BN,0.4385639217960865,0.5778395396471023,0.8075,128,0.01,0.9,1e-05
9,BN,0.399614653204713,0.4532045312225818,0.8489,128,0.01,0.9,1e-05
10,BN,0.3617990023797125,0.4241772109270096,0.8611,128,0.01,0.9,1e-05
11,BN,0.3318247107593605,0.5013098771870136,0.8375,128,0.01,0.9,1e-05
12,BN,0.3115551472472412,0.4528829316794872,0.8595,128,0.01,0.9,1e-05
13,BN,0.2834967020375039,0.5020713737607002,0.845,128,0.01,0.9,1e-05
14,BN,0.2635311776643519,0.481866892427206,0.8511,128,0.01,0.9,1e-05
15,BN,0.2443224701582623,0.4235146805644035,0.8661,128,0.01,0.9,1e-05
16,BN,0.231860200976929,0.378226321786642,0.8813,128,0.01,0.9,1e-05
17,BN,0.2146113558917704,0.387565206438303,0.8809,128,0.01,0.9,1e-05
18,BN,0.202609400919941,0.4082183195650578,0.8809,128,0.01,0.9,1e-05
19,BN,0.1885319143209768,0.5528395107388496,0.8522,128,0.01,0.9,1e-05
20,BN,0.1769192183623686,0.3884611661732197,0.8807,128,0.01,0.9,1e-05
21,BN,0.0992885803532265,0.3339477656781673,0.9098,128,0.01,0.9,1e-05
22,BN,0.0798635454681675,0.3381927299499512,0.9108,128,0.01,0.9,1e-05
23,BN,0.0697264385164317,0.3494515231251716,0.9103,128,0.01,0.9,1e-05
24,BN,0.0642740397411577,0.3700242562592029,0.9118,128,0.01,0.9,1e-05
25,BN,0.0590217512236703,0.364823195785284,0.9122,128,0.01,0.9,1e-05
26,BN,0.0578924983530245,0.3888429675251245,0.9102,128,0.01,0.9,1e-05
27,BN,0.0507710871674939,0.4488046886026859,0.9032,128,0.01,0.9,1e-05
28,BN,0.0480643002318737,0.4178729999810457,0.9085,128,0.01,0.9,1e-05
29,BN,0.0474563421719633,0.4108921315521002,0.9104,128,0.01,0.9,1e-05
30,BN,0.0445594548693169,0.3738873572647571,0.9159,128,0.01,0.9,1e-05
31,BN,0.027254118356625,0.3942931060492992,0.9182,128,0.01,0.9,1e-05
32,BN,0.0225278661729853,0.4045567340403795,0.9182,128,0.01,0.9,1e-05
33,BN,0.020962576147245,0.4190045327693223,0.9196,128,0.01,0.9,1e-05
34,BN,0.0175393032501963,0.4387624371051788,0.9218,128,0.01,0.9,1e-05
35,BN,0.0166979759792818,0.4452187629044056,0.9198,128,0.01,0.9,1e-05
36,BN,0.0154777553966096,0.4645529915392399,0.9187,128,0.01,0.9,1e-05
37,BN,0.0161626178576537,0.4409339661896229,0.9192,128,0.01,0.9,1e-05
38,BN,0.014723571171017,0.4802787239104509,0.9183,128,0.01,0.9,1e-05
39,BN,0.0144591307359994,0.4470251762121915,0.9202,128,0.01,0.9,1e-05
40,BN,0.0131369386382801,0.4560675282031298,0.919,128,0.01,0.9,1e-05
41,BN,0.0096806811743125,0.4676082070171833,0.9198,128,0.01,0.9,1e-05
42,BN,0.0098290282024411,0.4568161671608686,0.9206,128,0.01,0.9,1e-05
43,BN,0.0081355878604849,0.4769301445037126,0.9209,128,0.01,0.9,1e-05
44,BN,0.0074695234953695,0.4891144549101591,0.9211,128,0.01,0.9,1e-05
45,BN,0.0085694174277935,0.4888000389933586,0.9196,128,0.01,0.9,1e-05
46,BN,0.0077626805242566,0.4759257343411445,0.9204,128,0.01,0.9,1e-05
47,BN,0.0072908063629328,0.4889094452559948,0.9223,128,0.01,0.9,1e-05
48,BN,0.0080036888701034,0.4877652341872454,0.9197,128,0.01,0.9,1e-05
49,BN,0.0076936388613365,0.4987543808668851,0.9205,128,0.01,0.9,1e-05
50,BN,0.0068663091718768,0.5052553057670593,0.9203,128,0.01,0.9,1e-05
1,BN,1.838686116821016,1.377308354377747,0.4996,479,0.01,0.9,1e-05
2,BN,1.2214708306905253,1.098875576853752,0.6112,479,0.01,0.9,1e-05
3,BN,0.9456008258073226,1.014502975344658,0.6641,479,0.01,0.9,1e-05
4,BN,0.7697969153713997,0.7735200569033622,0.741,479,0.01,0.9,1e-05
5,BN,0.6419664608395618,0.7145128953456878,0.7563,479,0.01,0.9,1e-05
6,BN,0.5434687921915518,0.7021736115217209,0.775,479,0.01,0.9,1e-05
7,BN,0.4849084192682105,0.5378355014324189,0.8174,479,0.01,0.9,1e-05
8,BN,0.4291272267051365,0.5083687719702721,0.8285,479,0.01,0.9,1e-05
9,BN,0.3914809637057507,0.6404335123300552,0.8031,479,0.01,0.9,1e-05
10,BN,0.3560572605761116,0.4618968141078949,0.8479,479,0.01,0.9,1e-05
11,BN,0.3285622495367094,0.480479371547699,0.8457,479,0.01,0.9,1e-05
12,BN,0.3000047723655505,0.4928683249652386,0.8479,479,0.01,0.9,1e-05
13,BN,0.2809545839076762,0.5334724915027619,0.8435,479,0.01,0.9,1e-05
14,BN,0.2569399468810357,0.4258174660801888,0.872,479,0.01,0.9,1e-05
15,BN,0.2427697010395472,0.4722903814911842,0.858,479,0.01,0.9,1e-05
16,BN,0.2201010508801016,0.4838298244774341,0.8612,479,0.01,0.9,1e-05
17,BN,0.2065257432553774,0.3728876626491547,0.8847,479,0.01,0.9,1e-05
18,BN,0.1940934068006475,0.4080372753739357,0.8832,479,0.01,0.9,1e-05
19,BN,0.1779581147729588,0.4450083570182323,0.8748,479,0.01,0.9,1e-05
20,BN,0.1665015576783653,0.4312966834008693,0.8788,479,0.01,0.9,1e-05
21,BN,0.0996357650374588,0.3142470564693213,0.9128,479,0.01,0.9,1e-05
22,BN,0.0788358042535879,0.3345018243044614,0.9116,479,0.01,0.9,1e-05
23,BN,0.0697881240526314,0.3291047646105289,0.9127,479,0.01,0.9,1e-05
24,BN,0.0631006080323777,0.3463693692535162,0.9144,479,0.01,0.9,1e-05
25,BN,0.059212689747667,0.3494742316007614,0.9153,479,0.01,0.9,1e-05
26,BN,0.0570932660463844,0.3772864948585629,0.9106,479,0.01,0.9,1e-05
27,BN,0.0511174693791781,0.4024145505949855,0.9113,479,0.01,0.9,1e-05
28,BN,0.0493145946965879,0.3728004305064678,0.916,479,0.01,0.9,1e-05
29,BN,0.0436363099202456,0.4052899360656738,0.9131,479,0.01,0.9,1e-05
30,BN,0.0431562212624532,0.3931961494684219,0.9122,479,0.01,0.9,1e-05
31,BN,0.027121178913609,0.3908874225988984,0.9211,479,0.01,0.9,1e-05
32,BN,0.0216070068654749,0.4126230034977197,0.9195,479,0.01,0.9,1e-05
33,BN,0.0175212188769736,0.4171256981045008,0.9204,479,0.01,0.9,1e-05
34,BN,0.0176233115934712,0.4128459870070219,0.9198,479,0.01,0.9,1e-05
35,BN,0.0160915896118156,0.4485176745802164,0.9204,479,0.01,0.9,1e-05
36,BN,0.0153403543120445,0.431658511608839,0.92,479,0.01,0.9,1e-05
37,BN,0.0140091961809008,0.4423451893031597,0.9206,479,0.01,0.9,1e-05
38,BN,0.0143738990881667,0.4462152063846588,0.9206,479,0.01,0.9,1e-05
39,BN,0.0127796411568693,0.475784802287817,0.9199,479,0.01,0.9,1e-05
40,BN,0.0114473133730372,0.479103921726346,0.9224,479,0.01,0.9,1e-05
41,BN,0.0111462514052334,0.469590583667159,0.9228,479,0.01,0.9,1e-05
42,BN,0.0099310357464299,0.4726017798483372,0.9218,479,0.01,0.9,1e-05
43,BN,0.008308023790797,0.4758146199211478,0.9231,479,0.01,0.9,1e-05
44,BN,0.0086233073061637,0.4828880804777145,0.9215,479,0.01,0.9,1e-05
45,BN,0.0079004926120733,0.4886737804859876,0.9227,479,0.01,0.9,1e-05
46,BN,0.0075068098656378,0.4930431133508682,0.9237,479,0.01,0.9,1e-05
47,BN,0.0066522590768866,0.4912687239795923,0.9235,479,0.01,0.9,1e-05
48,BN,0.0067244870265138,0.4992263144254684,0.9244,479,0.01,0.9,1e-05
49,BN,0.0066489080574376,0.5031902539730072,0.9248,479,0.01,0.9,1e-05
50,BN,0.0075820796278966,0.4921695590019226,0.9247,479,0.01,0.9,1e-05
1,BN,1.8392614656702029,1.5867054915428165,0.4323,0,0.01,0.5,0.0
2,BN,1.3100713297839055,1.2576348769664765,0.5732,0,0.01,0.5,0.0
3,BN,1.06283808288062,1.25602912068367,0.591,0,0.01,0.5,0.0
4,BN,0.8966312951139171,0.9148744922876358,0.6867,0,0.01,0.5,0.0
5,BN,0.7768644186694299,0.8073703789710999,0.72,0,0.01,0.5,0.0
6,BN,0.6754393970112667,0.7372500470280647,0.7625,0,0.01,0.5,0.0
7,BN,0.6032962574983192,0.6272148269414902,0.7857,0,0.01,0.5,0.0
8,BN,0.5465251857514881,0.6619398131966591,0.787,0,0.01,0.5,0.0
9,BN,0.4926986423752192,0.5887536495923996,0.8038,0,0.01,0.5,0.0
10,BN,0.4538020503033153,0.5649755150079727,0.8109,0,0.01,0.5,0.0
11,BN,0.4215658035348443,0.4922104039788246,0.8359,0,0.01,0.5,0.0
12,BN,0.3866106320525069,0.5880908861756324,0.8126,0,0.01,0.5,0.0
13,BN,0.3577941303972698,0.5596955706179142,0.8224,0,0.01,0.5,0.0
14,BN,0.3378996868496355,0.5265928310155868,0.8342,0,0.01,0.5,0.0
15,BN,0.3171144238365885,0.5506523284316063,0.8269,0,0.01,0.5,0.0
16,BN,0.2975892475079697,0.5081590431928634,0.8436,0,0.01,0.5,0.0
17,BN,0.2744573209329944,0.480725579559803,0.8516,0,0.01,0.5,0.0
18,BN,0.2578076350185877,0.4823265524208546,0.8494,0,0.01,0.5,0.0
19,BN,0.2412542241346805,0.4799389368295669,0.8535,0,0.01,0.5,0.0
20,BN,0.2275861547045085,0.4515301938354969,0.8617,0,0.01,0.5,0.0
21,BN,0.1554026329589774,0.3548786489665508,0.8904,0,0.01,0.5,0.0
22,BN,0.1360562649529303,0.3710180884599686,0.8911,0,0.01,0.5,0.0
23,BN,0.1263204869406912,0.3863453389704227,0.8875,0,0.01,0.5,0.0
24,BN,0.1180391726905808,0.3770741261541843,0.8912,0,0.01,0.5,0.0
25,BN,0.1110095077949335,0.3759757827222347,0.8958,0,0.01,0.5,0.0
26,BN,0.1042111690496773,0.3867832028865814,0.8904,0,0.01,0.5,0.0
27,BN,0.0993543590902519,0.4069645667076111,0.8879,0,0.01,0.5,0.0
28,BN,0.0947076461809065,0.3932778318226337,0.8937,0,0.01,0.5,0.0
29,BN,0.0903630039709455,0.414358419701457,0.8889,0,0.01,0.5,0.0
30,BN,0.0824028786671969,0.4150342385470867,0.8914,0,0.01,0.5,0.0
31,BN,0.0640152645490282,0.3879407238215208,0.8999,0,0.01,0.5,0.0
32,BN,0.0584816508652532,0.3934786296635866,0.9,0,0.01,0.5,0.0
33,BN,0.0557583928146325,0.3962693000584841,0.8976,0,0.01,0.5,0.0
34,BN,0.0522236156198755,0.4045598793029785,0.8981,0,0.01,0.5,0.0
35,BN,0.0485203500594133,0.411127063781023,0.898,0,0.01,0.5,0.0
36,BN,0.047593706325554,0.4127427186816931,0.898,0,0.01,0.5,0.0
37,BN,0.0484626992555606,0.4197548460960388,0.8999,0,0.01,0.5,0.0
38,BN,0.0468935698206486,0.4167582204937934,0.8983,0,0.01,0.5,0.0
39,BN,0.0447680673447659,0.4281003884226084,0.8967,0,0.01,0.5,0.0
40,BN,0.041466018597088,0.4242399766296148,0.8982,0,0.01,0.5,0.0
41,BN,0.0370676668463251,0.4233465978503227,0.8996,0,0.01,0.5,0.0
42,BN,0.035481088553005,0.4209752629697323,0.9,0,0.01,0.5,0.0
43,BN,0.0357953898246635,0.4247814371436834,0.8994,0,0.01,0.5,0.0
44,BN,0.0346169603054823,0.4231625114381313,0.9002,0,0.01,0.5,0.0
45,BN,0.0367445400630212,0.4222334336489439,0.9013,0,0.01,0.5,0.0
46,BN,0.034099055592285,0.4268309612572193,0.9016,0,0.01,0.5,0.0
47,BN,0.0328756532610377,0.4249335038661956,0.9005,0,0.01,0.5,0.0
48,BN,0.0319338710442699,0.4285537408292293,0.9,0,0.01,0.5,0.0
49,BN,0.0302260303167183,0.4249751627445221,0.9004,0,0.01,0.5,0.0
50,BN,0.0314301363349704,0.427576844394207,0.9008,0,0.01,0.5,0.0
1,BN,1.8530188466581847,1.6397471034526825,0.4508,128,0.01,0.5,0.0
2,BN,1.3453400933833988,1.2365801918506625,0.5674,128,0.01,0.5,0.0
3,BN,1.0776286180062062,1.099863176345825,0.6255,128,0.01,0.5,0.0
4,BN,0.9169241484168852,0.950431991815567,0.6806,128,0.01,0.5,0.0
5,BN,0.79482566792032,0.9012120687961578,0.7021,128,0.01,0.5,0.0
6,BN,0.6982471303409322,0.7545153778791428,0.7524,128,0.01,0.5,0.0
7,BN,0.6132544840083403,0.7284000083804131,0.7636,128,0.01,0.5,0.0
8,BN,0.5508806479861365,0.6177923473715782,0.7968,128,0.01,0.5,0.0
9,BN,0.4964193248992686,0.6461523962020874,0.7853,128,0.01,0.5,0.0
10,BN,0.4539674675220723,0.6232241067290306,0.8014,128,0.01,0.5,0.0
11,BN,0.4202113788374854,0.583504943549633,0.8144,128,0.01,0.5,0.0
12,BN,0.3892218516305889,0.556937675178051,0.8196,128,0.01,0.5,0.0
13,BN,0.3583644595368744,0.5509910781681537,0.8287,128,0.01,0.5,0.0
14,BN,0.3348256980290498,0.5106850290298461,0.8443,128,0.01,0.5,0.0
15,BN,0.3136322359790278,0.508231109380722,0.8415,128,0.01,0.5,0.0
16,BN,0.2909899336069136,0.4570997011661529,0.8551,128,0.01,0.5,0.0
17,BN,0.2738175980575249,0.4954235883057117,0.848,128,0.01,0.5,0.0
18,BN,0.2553296197786965,0.4896937265992164,0.8487,128,0.01,0.5,0.0
19,BN,0.2409421782321332,0.4742538703978061,0.8551,128,0.01,0.5,0.0
20,BN,0.2263449735729895,0.4498503156006336,0.8647,128,0.01,0.5,0.0
21,BN,0.149667123537463,0.3838070654869079,0.8862,128,0.01,0.5,0.0
22,BN,0.1280141849728191,0.3822104740142822,0.8916,128,0.01,0.5,0.0
23,BN,0.1190266844904636,0.3976168052852153,0.8876,128,0.01,0.5,0.0
24,BN,0.1117280602521832,0.3914910942316055,0.8914,128,0.01,0.5,0.0
25,BN,0.1039356080543659,0.4143540597707033,0.8901,128,0.01,0.5,0.0
26,BN,0.0969841172227926,0.4271788544952869,0.8884,128,0.01,0.5,0.0
27,BN,0.0929439333327057,0.4211229576170444,0.8921,128,0.01,0.5,0.0
28,BN,0.088892253096718,0.4194496612250805,0.89,128,0.01,0.5,0.0
29,BN,0.0831024484813708,0.4318234220147133,0.8902,128,0.01,0.5,0.0
30,BN,0.0811973971998333,0.4624605455994606,0.8846,128,0.01,0.5,0.0
31,BN,0.0610669205570236,0.4053089845180511,0.897,128,0.01,0.5,0.0
32,BN,0.0542818632076882,0.4127662578970194,0.8997,128,0.01,0.5,0.0
33,BN,0.052196649117562,0.410872487872839,0.8988,128,0.01,0.5,0.0
34,BN,0.0482881916139055,0.4189757242798805,0.9006,128,0.01,0.5,0.0
35,BN,0.0453773196453176,0.4239719288051128,0.9001,128,0.01,0.5,0.0
36,BN,0.0437300664949161,0.4270989513397217,0.8993,128,0.01,0.5,0.0
37,BN,0.0436761318193867,0.4261162996292114,0.8996,128,0.01,0.5,0.0
38,BN,0.0418912691785894,0.4336927366256713,0.8991,128,0.01,0.5,0.0
39,BN,0.0394318663417492,0.4368760140240192,0.9004,128,0.01,0.5,0.0
40,BN,0.0360934728854204,0.4477665343880653,0.899,128,0.01,0.5,0.0
41,BN,0.033696660983955,0.4367876361310482,0.8999,128,0.01,0.5,0.0
42,BN,0.0320120981428176,0.4373935551941394,0.9012,128,0.01,0.5,0.0
43,BN,0.0314100344124657,0.4403938098251819,0.9009,128,0.01,0.5,0.0
44,BN,0.0298019397677496,0.4348276147246361,0.9021,128,0.01,0.5,0.0
45,BN,0.0303126046698435,0.4414729386568069,0.9018,128,0.01,0.5,0.0
46,BN,0.0289689510372345,0.4446391341090202,0.9005,128,0.01,0.5,0.0
47,BN,0.0294693816028049,0.4460716296732425,0.9006,128,0.01,0.5,0.0
48,BN,0.030352698336534,0.4479305298626423,0.9013,128,0.01,0.5,0.0
49,BN,0.030090750856063,0.4447655040025711,0.901,128,0.01,0.5,0.0
50,BN,0.027782863235849,0.4444539900124073,0.901,128,0.01,0.5,0.0
1,BN,1.8089302107501213,1.5530381786823273,0.4136,479,0.01,0.5,0.0
2,BN,1.3083151351765294,1.2007050913572312,0.5721,479,0.01,0.5,0.0
3,BN,1.0520300766086337,1.0825201588869096,0.6366,479,0.01,0.5,0.0
4,BN,0.8780246849560067,0.915248983502388,0.6838,479,0.01,0.5,0.0
5,BN,0.7510023809150052,0.8579299783706665,0.7078,479,0.01,0.5,0.0
6,BN,0.6509016538062669,0.7781578239798546,0.7505,479,0.01,0.5,0.0
7,BN,0.5799499413241511,0.6892204487323761,0.7672,479,0.01,0.5,0.0
8,BN,0.5237217197180404,0.6253297728300095,0.7938,479,0.01,0.5,0.0
9,BN,0.4767682093488591,0.6394558373093605,0.7915,479,0.01,0.5,0.0
10,BN,0.4363741223007212,0.5816715213656426,0.8093,479,0.01,0.5,0.0
11,BN,0.4037752793649273,0.6257841128110886,0.8005,479,0.01,0.5,0.0
12,BN,0.3715593915461274,0.5768330675363541,0.8214,479,0.01,0.5,0.0
13,BN,0.3451694479150236,0.5219091334939003,0.8354,479,0.01,0.5,0.0
14,BN,0.3183411612839955,0.5015599016845226,0.8445,479,0.01,0.5,0.0
15,BN,0.2973878737681967,0.5946577283740043,0.8191,479,0.01,0.5,0.0
16,BN,0.2799360980386929,0.5584371393918991,0.8379,479,0.01,0.5,0.0
17,BN,0.2591895355135583,0.4701266226172447,0.8568,479,0.01,0.5,0.0
18,BN,0.2453674259774215,0.5298262232542038,0.8445,479,0.01,0.5,0.0
19,BN,0.2303696664436089,0.537193702608347,0.8475,479,0.01,0.5,0.0
20,BN,0.2129580962383533,0.4828258341550827,0.86,479,0.01,0.5,0.0
21,BN,0.1422735653588991,0.3632716035842895,0.8943,479,0.01,0.5,0.0
22,BN,0.1246721227665234,0.3733164182305336,0.8938,479,0.01,0.5,0.0
23,BN,0.1138554600679584,0.400054527670145,0.8912,479,0.01,0.5,0.0
24,BN,0.1045639175264274,0.3848939146101475,0.8945,479,0.01,0.5,0.0
25,BN,0.0968304031940601,0.4204721913486719,0.8897,479,0.01,0.5,0.0
26,BN,0.0969654101868877,0.3997891250252723,0.8925,479,0.01,0.5,0.0
27,BN,0.0880899363676148,0.3997564114630222,0.8987,479,0.01,0.5,0.0
28,BN,0.0840414887784844,0.4194208835065365,0.8957,479,0.01,0.5,0.0
29,BN,0.0751657506922626,0.4156017552316189,0.894,479,0.01,0.5,0.0
30,BN,0.0732134698087449,0.4474735291302204,0.8893,479,0.01,0.5,0.0
31,BN,0.0560343613600372,0.4078591279685497,0.9003,479,0.01,0.5,0.0
32,BN,0.0507775982722754,0.4042602954804897,0.9008,479,0.01,0.5,0.0
33,BN,0.0464839515647829,0.408255156725645,0.9012,479,0.01,0.5,0.0
34,BN,0.0458032022339894,0.4210211688280105,0.9013,479,0.01,0.5,0.0
35,BN,0.0430159097980431,0.423659119606018,0.9012,479,0.01,0.5,0.0
36,BN,0.0425793256782128,0.4229847900569439,0.9008,479,0.01,0.5,0.0
37,BN,0.0383750745404959,0.4269672532379627,0.9009,479,0.01,0.5,0.0
38,BN,0.038124344914275,0.4293782319128513,0.8999,479,0.01,0.5,0.0
39,BN,0.0366223102990452,0.4489620859920978,0.8974,479,0.01,0.5,0.0
40,BN,0.0363235119777872,0.4384770664572716,0.8989,479,0.01,0.5,0.0
41,BN,0.032159132330352,0.4315998613834381,0.902,479,0.01,0.5,0.0
42,BN,0.0311230550891698,0.4411375999450683,0.8986,479,0.01,0.5,0.0
43,BN,0.0298673614580898,0.4358440913259983,0.9008,479,0.01,0.5,0.0
44,BN,0.0291495827619758,0.4410266269743442,0.9001,479,0.01,0.5,0.0
45,BN,0.0289146989009931,0.4500435143709183,0.9005,479,0.01,0.5,0.0
46,BN,0.027224369569803,0.4418228013813495,0.9004,479,0.01,0.5,0.0
47,BN,0.025764823607181,0.4451763734221458,0.8999,479,0.01,0.5,0.0
48,BN,0.026510110576911,0.4456158939003944,0.8995,479,0.01,0.5,0.0
49,BN,0.0269053006000445,0.4428283779323101,0.901,479,0.01,0.5,0.0
50,BN,0.0269394185193969,0.4464415749907494,0.9,479,0.01,0.5,0.0
1,GN,2.5306564423129383,1.960022515058517,0.2303,0,0.01,0.5,0.0
2,GN,1.924280804441408,1.823568872213364,0.3209,0,0.01,0.5,0.0
3,GN,1.7445872576950152,1.7353120005130769,0.3243,0,0.01,0.5,0.0
4,GN,1.5881536092294757,1.71764248251915,0.3741,0,0.01,0.5,0.0
5,GN,1.4673520253442438,1.5572463381290436,0.4412,0,0.01,0.5,0.0
6,GN,1.3465029097274137,1.6009180843830109,0.4699,0,0.01,0.5,0.0
7,GN,1.2678226259968164,1.2699768769741058,0.5562,0,0.01,0.5,0.0
8,GN,1.157251382880199,1.3807310724258424,0.5263,0,0.01,0.5,0.0
9,GN,1.0825413351168718,1.336604038476944,0.5456,0,0.01,0.5,0.0
10,GN,1.0226818824668065,1.2090773731470108,0.5913,0,0.01,0.5,0.0
11,GN,0.9594595938387428,1.1077151542901993,0.6215,0,0.01,0.5,0.0
12,GN,0.8965974672676047,0.9232205301523208,0.6814,0,0.01,0.5,0.0
13,GN,0.8496065129099599,1.0361789363622664,0.6381,0,0.01,0.5,0.0
14,GN,0.8038352362030302,0.8156364792585373,0.7117,0,0.01,0.5,0.0
15,GN,0.7639181042266319,0.8181327122449875,0.7217,0,0.01,0.5,0.0
16,GN,0.725441531680734,0.912170330286026,0.696,0,0.01,0.5,0.0
17,GN,0.6807151883459457,0.6992802399396897,0.763,0,0.01,0.5,0.0
18,GN,0.6382347536666314,0.7238260772824288,0.7576,0,0.01,0.5,0.0
19,GN,0.6124933929851902,0.7374235641956329,0.755,0,0.01,0.5,0.0
20,GN,0.5855128230036372,0.6125416770577431,0.7912,0,0.01,0.5,0.0
21,GN,0.442296401466555,0.5595423704385758,0.8076,0,0.01,0.5,0.0
22,GN,0.418664719213915,0.5291469883918762,0.8233,0,0.01,0.5,0.0
23,GN,0.4069543681333742,0.5154252168536186,0.8222,0,0.01,0.5,0.0
24,GN,0.3924436969754031,0.5286587873101234,0.8197,0,0.01,0.5,0.0
25,GN,0.3847512932079832,0.497206964045763,0.8319,0,0.01,0.5,0.0
26,GN,0.3757706364173718,0.521969449520111,0.8244,0,0.01,0.5,0.0
27,GN,0.3642799151904138,0.4833326612412929,0.8369,0,0.01,0.5,0.0
28,GN,0.3570733793708674,0.516883137524128,0.8273,0,0.01,0.5,0.0
29,GN,0.3477137243503804,0.4931351515650749,0.8355,0,0.01,0.5,0.0
30,GN,0.345670112563521,0.4725214055180549,0.8382,0,0.01,0.5,0.0
