norm,scenario,round,test_accuracy,test_loss
BN,fedavg iid balanced,1,0.10223333333333333,2.4079849880958912
BN,fedavg iid balanced,2,0.10383333333333333,2.6954868383045434
BN,fedavg iid balanced,3,0.13536666666666666,2.713572752626636
BN,fedavg iid balanced,4,0.18263333333333334,2.488921332459913
BN,fedavg iid balanced,5,0.2149333333333333,2.2988828873332547
BN,fedavg iid balanced,6,0.23343333333333335,2.2261801108026305
BN,fedavg iid balanced,7,0.26020000000000004,2.140102607791434
BN,fedavg iid balanced,8,0.29086666666666666,2.029948848712294
BN,fedavg iid balanced,9,0.31529999999999997,1.9761116575088178
BN,fedavg iid balanced,10,0.35496666666666665,1.827604822468657
BN,fedavg iid balanced,11,0.37220000000000003,1.7785920181354895
BN,fedavg iid balanced,12,0.4003666666666667,1.699725972952219
BN,fedavg iid balanced,13,0.418,1.6676472913363813
BN,fedavg iid balanced,14,0.43016666666666664,1.6640327575337535
BN,fedavg iid balanced,15,0.45516666666666666,1.5683492874797385
BN,fedavg iid balanced,16,0.4698333333333333,1.5502455234527588
BN,fedavg iid balanced,17,0.47373333333333334,1.5324564090760948
BN,fedavg iid balanced,18,0.4860666666666667,1.5084462110503314
BN,fedavg iid balanced,19,0.48856666666666665,1.5193606640216168
BN,fedavg iid balanced,20,0.4978666666666666,1.5117364533339874
BN,fedavg iid balanced,21,0.5031333333333333,1.5180501082778484
BN,fedavg iid balanced,22,0.5144000000000001,1.4939277277717107
BN,fedavg iid balanced,23,0.5253,1.4703039127060127
BN,fedavg iid balanced,24,0.5270333333333334,1.4629571478075114
BN,fedavg iid balanced,25,0.5358666666666666,1.451274586629264
BN,fedavg iid balanced,26,0.5351333333333333,1.4981682250268349
BN,fedavg iid balanced,27,0.5431,1.4958775667198598
BN,fedavg iid balanced,28,0.5512,1.4875141357067767
BN,fedavg iid balanced,29,0.5515,1.505782885641991
BN,fedavg iid balanced,30,0.5565,1.5038073022657308
BN,fedavg iid balanced,31,0.5557,1.5343290396380524
BN,fedavg iid balanced,32,0.5632666666666667,1.4931159628091484
BN,fedavg iid balanced,33,0.5676666666666667,1.4973012098280185
BN,fedavg iid balanced,34,0.5746,1.5061887306503101
BN,fedavg iid balanced,35,0.5728666666666666,1.5307062200353119
BN,fedavg iid balanced,36,0.5725333333333333,1.534565927107123
BN,fedavg iid balanced,37,0.5790333333333333,1.5287767970612283
BN,fedavg iid balanced,38,0.5826666666666666,1.540325834781309
BN,fedavg iid balanced,39,0.5857666666666667,1.565526717825781
BN,fedavg iid balanced,40,0.5869666666666666,1.5671916837933697
BN,fedavg iid balanced,41,0.5912333333333333,1.5791703955533638
BN,fedavg iid balanced,42,0.5938666666666667,1.587435370759119
BN,fedavg iid balanced,43,0.5945,1.6069585361561192
BN,fedavg iid balanced,44,0.5979,1.5977597598788105
BN,fedavg iid balanced,45,0.5973666666666667,1.624296603826531
BN,fedavg iid balanced,46,0.5996666666666667,1.6437772447046852
BN,fedavg iid balanced,47,0.5959333333333333,1.6762435235051665
BN,fedavg iid balanced,48,0.6014333333333334,1.6749441145844601
BN,fedavg iid balanced,49,0.6045666666666666,1.6890540610888838
BN,fedavg iid balanced,50,0.601,1.7158682773887861
