norm,independence,balancement,round,test_accuracy,test_loss,train_loss,seed,lr,mm,wd
BN,iid,balanced,1.0,0.1,2.3397930754890925,4.034146800041198,0,0.01,0.5,0.0
BN,iid,balanced,2.0,0.1,2.378032138076009,3.1805685539245605,0,0.01,0.5,0.0
BN,iid,balanced,3.0,0.1213,2.4174090518227107,2.689329530715942,0,0.01,0.5,0.0
BN,iid,balanced,4.0,0.1432,2.237413922442665,2.4836682312488554,0,0.01,0.5,0.0
BN,iid,balanced,5.0,0.1741,2.1217699835572064,2.348270641565323,0,0.01,0.5,0.0
BN,iid,balanced,6.0,0.1854,2.099697503862502,2.265737993478775,0,0.01,0.5,0.0
BN,iid,balanced,7.0,0.203,2.0475026006940045,2.235082822799683,0,0.01,0.5,0.0
BN,iid,balanced,8.0,0.2162,1.9658116735989533,2.1924378538131712,0,0.01,0.5,0.0
BN,iid,balanced,9.0,0.2524,1.92051915881,2.1250507574081423,0,0.01,0.5,0.0
BN,iid,balanced,10.0,0.2511,1.9192176800739915,2.0983639960289,0,0.01,0.5,0.0
BN,iid,balanced,11.0,0.2721,1.891421886939037,2.069952859401703,0,0.01,0.5,0.0
BN,iid,balanced,12.0,0.2827,1.8552828604661968,2.039648093700409,0,0.01,0.5,0.0
BN,iid,balanced,13.0,0.3056,1.8031898918031133,2.0231297729015347,0,0.01,0.5,0.0
BN,iid,balanced,14.0,0.3148,1.789101034780092,1.9829611761569976,0,0.01,0.5,0.0
BN,iid,balanced,15.0,0.3212,1.7748403715181955,1.957060521364212,0,0.01,0.5,0.0
BN,iid,balanced,16.0,0.3183,1.7610862556892106,1.9432582654953,0,0.01,0.5,0.0
BN,iid,balanced,17.0,0.3502,1.7081392445141756,1.9181297085285185,0,0.01,0.5,0.0
BN,iid,balanced,18.0,0.353,1.705797682834577,1.907608563184738,0,0.01,0.5,0.0
BN,iid,balanced,19.0,0.3599,1.6582381287707555,1.870576408624649,0,0.01,0.5,0.0
BN,iid,balanced,20.0,0.4017,1.6277777469610866,1.8480351624488829,0,0.01,0.5,0.0
BN,iid,balanced,21.0,0.3756,1.6662557034552852,1.845012655735016,0,0.01,0.5,0.0
BN,iid,balanced,22.0,0.3934,1.6132456124583376,1.8229367096424105,0,0.01,0.5,0.0
BN,iid,balanced,23.0,0.4148,1.5760662872580034,1.814735882163048,0,0.01,0.5,0.0
BN,iid,balanced,24.0,0.4005,1.5853642934485326,1.7998898010253903,0,0.01,0.5,0.0
BN,iid,balanced,25.0,0.4308,1.5401287184485906,1.7625006847381592,0,0.01,0.5,0.0
BN,iid,balanced,26.0,0.433,1.513427799261069,1.7468034780025483,0,0.01,0.5,0.0
BN,iid,balanced,27.0,0.4341,1.522020069858696,1.7345173256397246,0,0.01,0.5,0.0
BN,iid,balanced,28.0,0.4487,1.4856233098838902,1.725368453860283,0,0.01,0.5,0.0
BN,iid,balanced,29.0,0.4709,1.4376497962806798,1.7147737749814986,0,0.01,0.5,0.0
BN,iid,balanced,30.0,0.4648,1.47269199920606,1.71752791929245,0,0.01,0.5,0.0
BN,iid,balanced,31.0,0.4594,1.4979915000215362,1.6830310267210007,0,0.01,0.5,0.0
BN,iid,balanced,32.0,0.461,1.4577541668203813,1.649902211904526,0,0.01,0.5,0.0
