norm,independence,balancement,seed,round,test_accuracy,test_loss,train_loss
BN,iid,balanced,128,12,0.4078,1.7032793971556652,1.5225486552715302
BN,iid,balanced,128,13,0.4265,1.6345037976397743,1.4736669301986693
BN,iid,balanced,128,14,0.4425,1.670881887025471,1.4340422719717028
BN,iid,balanced,128,15,0.4685,1.5553640112092224,1.359016262292862
BN,iid,balanced,128,16,0.478,1.5426938337615774,1.3184144431352616
BN,iid,balanced,128,17,0.483,1.4888506493990934,1.2617655542492867
BN,iid,balanced,128,18,0.4892,1.4941999836813045,1.2367544099688532
BN,iid,balanced,128,19,0.4838,1.56693450257748,1.1853021088242532
BN,iid,balanced,128,20,0.5053,1.492575574524795,1.1333570325374602
BN,iid,balanced,128,21,0.5117,1.5162979786909079,1.1027829721570015
BN,iid,balanced,128,22,0.5197,1.517048167276986,1.0693834728002547
BN,iid,balanced,128,23,0.5317,1.4715883520585071,1.0365974733233454
BN,iid,balanced,128,24,0.528,1.468096266818952,0.9806180515885352
BN,iid,balanced,128,25,0.5416,1.4418038944654827,0.9465416443347932
BN,iid,balanced,128,26,0.527,1.555555410022977,0.9038236141204836
BN,iid,balanced,128,27,0.5441,1.5280572915379005,0.8661630651354789
BN,iid,balanced,128,28,0.5563,1.4926983782007723,0.8476214560866356
BN,iid,balanced,128,29,0.5519,1.5260259833516954,0.8029779842495918
BN,iid,balanced,128,30,0.5623,1.4923681322532365,0.7566953997313977
BN,iid,balanced,128,31,0.5574,1.517145479781718,0.7352935707569123
BN,iid,balanced,128,32,0.5606,1.5429979245873946,0.6976681482791901
BN,iid,balanced,128,33,0.5724,1.4970793874957893,0.6758487409353257
BN,iid,balanced,128,34,0.5825,1.4719436817531344,0.6229610949754715
BN,iid,balanced,128,35,0.5795,1.5254037319859373,0.6237340562045575
BN,iid,balanced,128,36,0.578,1.5156568952753573,0.5826710565388203
BN,iid,balanced,128,37,0.5815,1.5528963140294523,0.5580251703411341
BN,iid,balanced,128,38,0.5875,1.547914289220979,0.5246521945297719
BN,iid,balanced,128,39,0.5901,1.517419297483903,0.5390885169059039
BN,iid,balanced,128,40,0.5941,1.5543187388890907,0.466823543086648
BN,iid,balanced,128,41,0.5934,1.5704897445968435,0.4707788749784231
BN,iid,balanced,128,42,0.5992,1.591899102247214,0.45982352323830133
BN,iid,balanced,128,43,0.5949,1.6198998810369758,0.4231870051473379
BN,iid,balanced,128,44,0.6005,1.5843322941019564,0.40178709112107763
BN,iid,balanced,128,45,0.6031,1.6208853344374066,0.3851044220104813
BN,iid,balanced,128,46,0.5989,1.7241694323624237,0.36585265200585126
BN,iid,balanced,128,47,0.6005,1.6773925023742868,0.33925479654222723
BN,iid,balanced,128,48,0.6036,1.6772969357575043,0.3468404476717114
BN,iid,balanced,128,49,0.6088,1.6826782422729685,0.30705579932779076
BN,iid,balanced,128,50,0.6053,1.7208813338340083,0.2878038577362895
