round,lr,weight_decay,momentum,model,norm,independence,balancement,loss,accuracy
13,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
13,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
13,0.1,0.001,0,ResNet50,GN,iid,balanced,2.1168161068439484,0.2093
13,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.588241879240672,0.10000000000000002
13,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.7704469283421833,0.10000000000000002
14,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
14,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
14,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
14,0.1,0.001,0,ResNet50,GN,iid,balanced,2.09501246008873,0.21176666666666666
14,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5713950282414757,0.10016666666666667
14,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.578090988000234,0.09973333333333334
15,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
15,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
15,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
15,0.1,0.001,0,ResNet50,GN,iid,balanced,2.081508935658137,0.21736666666666668
15,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4801510533014937,0.10163333333333334
15,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.596367023785909,0.10053333333333332
16,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
16,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
16,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
16,0.1,0.001,0,ResNet50,GN,iid,balanced,2.0608914463361105,0.219
16,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4963394905090333,0.1018
16,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.816274042924245,0.10000000000000002
17,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
17,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
17,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
17,0.1,0.001,0,ResNet50,GN,iid,balanced,2.0388261366049445,0.23796666666666666
17,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4902902591705325,0.1044
17,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5020617834726973,0.10000000000000002
18,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
18,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
18,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
18,0.1,0.001,0,ResNet50,GN,iid,balanced,2.018941958586375,0.2502
18,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.711470258776347,0.10156666666666665
18,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.7359232370058693,0.10000000000000002
19,0.1,0.001,0,ResNet50,BN,iid,balanced,,0.10000000000000002
19,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
19,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
19,0.1,0.001,0,ResNet50,GN,iid,balanced,2.001845589462916,0.25379999999999997
19,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4636879777272545,0.1013
19,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5418125263849896,0.10000000000000002
20,0.1,0.001,0,ResNet50,BN,iid,balanced,1.3938367474079132,0.24116666666666664
20,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
20,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
20,0.1,0.001,0,ResNet50,GN,iid,balanced,1.9859630660216014,0.2638666666666667
20,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.602725398127238,0.10926666666666666
20,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.783793340524038,0.10000000000000002
21,0.1,0.001,0,ResNet50,BN,iid,balanced,1.3738359487056733,0.2454333333333333
21,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
21,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
