round,norm,scenario,model,accuracy,loss
33,,feddyn iid balanced,CNN,0.7341666666666665,0.8028655115763347
33,,feddyn noniid balanced,CNN,0.1412,3.1632934029897055
33,,feddyn noniid unbalanced,CNN,0.1307,3.2613556146621705
34,,feddyn iid balanced,CNN,0.7432666666666666,0.7802402750651042
34,,feddyn noniid balanced,CNN,0.14246666666666666,3.7503205935160318
34,,feddyn noniid unbalanced,CNN,0.12956666666666666,4.393897138436635
35,,feddyn iid balanced,CNN,0.7456,0.7766790522138277
35,,feddyn noniid balanced,CNN,0.13053333333333336,3.5671061094601946
35,,feddyn noniid unbalanced,CNN,0.11613333333333332,3.7951166097323097
36,,feddyn iid balanced,CNN,0.7442666666666667,0.7657031015555065
36,,feddyn noniid balanced,CNN,0.1119,4.81589947382609
36,,feddyn noniid unbalanced,CNN,0.12739999999999999,3.74524172782898
37,,feddyn iid balanced,CNN,0.7493666666666666,0.7630004388093948
37,,feddyn noniid balanced,CNN,0.11596666666666666,4.529547305901844
37,,feddyn noniid unbalanced,CNN,0.1484,3.1022765946388247
38,,feddyn iid balanced,CNN,0.7474999999999999,0.7577576330304145
38,,feddyn noniid balanced,CNN,0.11309999999999999,4.662507593631745
38,,feddyn noniid unbalanced,CNN,0.13663333333333336,3.985299175580342
39,,feddyn iid balanced,CNN,0.7497333333333334,0.7578743585944175
39,,feddyn noniid balanced,CNN,0.15543333333333334,2.9420033685366316
39,,feddyn noniid unbalanced,CNN,0.16376666666666667,3.0776565647125245
40,,feddyn iid balanced,CNN,0.7511000000000001,0.7511672949790954
40,,feddyn noniid balanced,CNN,0.14066666666666666,3.6902899495760604
40,,feddyn noniid unbalanced,CNN,0.15056666666666668,3.7273282988866168
41,,feddyn iid balanced,CNN,0.7521999999999999,0.7561581830183665
41,,feddyn noniid balanced,CNN,0.13503333333333334,4.912720927397411
41,,feddyn noniid unbalanced,CNN,0.10293333333333332,4.4650808016459145
42,,feddyn iid balanced,CNN,0.7525000000000001,0.7514208893974622
42,,feddyn noniid balanced,CNN,0.11003333333333333,4.169561680952707
42,,feddyn noniid unbalanced,CNN,0.13449999999999998,3.679889121850332
43,,feddyn iid balanced,CNN,0.7552666666666666,0.7519425510366758
43,,feddyn noniid balanced,CNN,0.14233333333333334,7.024203839302063
43,,feddyn noniid unbalanced,CNN,0.17376666666666665,3.406911775668462
44,,feddyn iid balanced,CNN,0.7572666666666666,0.7406026959419251
44,,feddyn noniid balanced,CNN,0.10170000000000001,5.106261871655781
44,,feddyn noniid unbalanced,CNN,0.11599999999999999,3.9478557085990906
45,,feddyn iid balanced,CNN,0.7604666666666667,0.7334121383229891
45,,feddyn noniid balanced,CNN,0.12406666666666666,3.3561144121487936
45,,feddyn noniid unbalanced,CNN,0.15363333333333334,3.424576947689056
46,,feddyn iid balanced,CNN,0.7613333333333333,0.7343076741695403
46,,feddyn noniid balanced,CNN,0.15883333333333333,3.0606395037968954
46,,feddyn noniid unbalanced,CNN,0.1635,3.1620690933863322
47,,feddyn iid balanced,CNN,0.7602333333333333,0.7423901274800301
47,,feddyn noniid balanced,CNN,0.1404,5.097190187772115
47,,feddyn noniid unbalanced,CNN,0.1587333333333333,3.0835703595479327
48,,feddyn iid balanced,CNN,0.7656333333333333,0.7134634147087732
48,,feddyn noniid balanced,CNN,0.14503333333333335,2.9494462680816653
48,,feddyn noniid unbalanced,CNN,0.133,3.93127153635025
49,,feddyn iid balanced,CNN,0.7657333333333334,0.718094443976879
49,,feddyn noniid balanced,CNN,0.12836666666666666,4.427719940344493
49,,feddyn noniid unbalanced,CNN,0.14246666666666666,3.1592019867897037
50,,feddyn iid balanced,CNN,0.7662666666666667,0.7315921765565871
50,,feddyn noniid balanced,CNN,0.13613333333333333,3.875246917406718
50,,feddyn noniid unbalanced,CNN,0.1504,3.1629309415817257
