round,scenario,accuracy,loss
5.0,fedgktCE+KD,0.391117358944866,1.7982902062415818
6.0,fedgktCE+KD,0.4117562038815749,1.7255531868173846
7.0,fedgktCE+KD,0.4343168578900138,1.686264450170193
8.0,fedgktCE+KD,0.428703065695921,1.686225170709286
9.0,fedgktCE+KD,0.4556809137971868,1.6207370318263636
10.0,fedgktCE+KD,0.4605068631642754,1.6117329001249383
11.0,fedgktCE+KD,0.4734090256115328,1.5853465922596828
12.0,fedgktCE+KD,0.4820785931220813,1.5645673920156324
13.0,fedgktCE+KD,0.4962729496621656,1.5051638626170805
14.0,fedgktCE+KD,0.5020383768773556,1.4900756918251
15.0,fedgktCE+KD,0.5037294370039379,1.4839345238705466
16.0,fedgktCE+KD,0.4975387724469759,1.4908095985347956
17.0,fedgktCE+KD,0.4988540414343175,1.480417080098943
18.0,fedgktCE+KD,0.4996979232908576,1.4771105947699468
19.0,fedgktCE+KD,0.4965959981853724,1.4778933063160755
20.0,fedgktCE+KD,0.5005220266663851,1.4751407879137028
21.0,fedgktCE+KD,0.4999847112655413,1.465439302591708
22.0,fedgktCE+KD,0.5002022745566804,1.45703391363085
23.0,fedgktCE+KD,0.5009835245566805,1.462391234885161
24.0,fedgktCE+KD,0.5080839992402247,1.4437979716363074
25.0,fedgktCE+KD,0.5069302545144864,1.4415222515610946
26.0,fedgktCE+KD,0.5134538568351615,1.4256735998692636
27.0,fedgktCE+KD,0.5141065467085791,1.4291249466670457
28.0,fedgktCE+KD,0.5143867418562585,1.4196767173058618
29.0,fedgktCE+KD,0.5191203916452881,1.4086781792322534
30.0,fedgktCE+KD,0.5186259296199717,1.406372768750547
31.0,fedgktCE+KD,0.5180424644300982,1.4086648288229588
32.0,fedgktCE+KD,0.5223970266663852,1.396187728927482
33.0,fedgktCE+KD,0.5206861880587902,1.3963392348051815
34.0,fedgktCE+KD,0.521012532995499,1.39766580920921
35.0,fedgktCE+KD,0.5208180445988746,1.4003114119937894
36.0,fedgktCE+KD,0.5239463410123767,1.3904546389925574
37.0,fedgktCE+KD,0.5214542524047817,1.397568090814452
38.0,fedgktCE+KD,0.5233859507170181,1.3922491744423455
39.0,fedgktCE+KD,0.5227563357381152,1.3907609066705404
40.0,fedgktCE+KD,0.5232442049364273,1.3882270610104877
41.0,fedgktCE+KD,0.5234980287760899,1.3887157418379543
42.0,fedgktCE+KD,0.5213784348942333,1.3968542727059694
43.0,fedgktCE+KD,0.5224959190714483,1.3938783306183935
44.0,fedgktCE+KD,0.5209037513499294,1.3921480738235168
45.0,fedgktCE+KD,0.5212828389026721,1.397479224036388
46.0,fedgktCE+KD,0.520142279830942,1.397533051406657
47.0,fedgktCE+KD,0.5222289095777775,1.3925878579429174
48.0,fedgktCE+KD,0.5202642471305201,1.401466536730527
49.0,fedgktCE+KD,0.5186555973414907,1.4002241194070886
50.0,fedgktCE+KD,0.5195027756115328,1.3955557165592272
1.0,feddyn,0.1,2.43794716278712
2.0,feddyn,0.1,
3.0,feddyn,0.1,
4.0,feddyn,0.1,
5.0,feddyn,0.1,
6.0,feddyn,0.1,
7.0,feddyn,0.1,
8.0,feddyn,0.1,
9.0,feddyn,0.1,
10.0,feddyn,0.1,
11.0,feddyn,0.1,
12.0,feddyn,0.1,
13.0,feddyn,0.1,
14.0,feddyn,0.1,
15.0,feddyn,0.1,
16.0,feddyn,0.1,
17.0,feddyn,0.1,
18.0,feddyn,0.1,
19.0,feddyn,0.1,
20.0,feddyn,0.2411666666666666,1.3938367474079132
21.0,feddyn,0.2454333333333333,1.3738359487056733
22.0,feddyn,0.3843,1.3707790237665176
23.0,feddyn,0.4126333333333334,1.2562869134545327
24.0,feddyn,0.4237,1.252123780846596
25.0,feddyn,0.5991666666666666,1.209683863123258
26.0,feddyn,0.6161666666666666,1.1720411884784698
27.0,feddyn,0.6136,1.2228920163710912
28.0,feddyn,0.6305666666666667,1.1722766908009847
29.0,feddyn,0.6416,1.1337512576580049
30.0,feddyn,0.6576666666666667,1.0760825071732203
31.0,feddyn,0.6619,1.083246547182401
32.0,feddyn,0.6676333333333334,1.0920474251111347
33.0,feddyn,0.6823,1.0629191426436106
34.0,feddyn,0.6735666666666668,1.12129592359066
35.0,feddyn,0.694,1.016608974734942
36.0,feddyn,0.6940666666666667,1.0444143001238506
37.0,feddyn,0.7033666666666667,1.0202063930034635
38.0,feddyn,0.7088333333333333,0.9974319265286128
39.0,feddyn,0.7146333333333333,0.9863084675868352
40.0,feddyn,0.7148666666666667,0.9818339614073436
41.0,feddyn,0.7169333333333334,0.9937835663557054
42.0,feddyn,0.7245666666666667,0.9800719632705052
43.0,feddyn,0.7351333333333333,0.9478498490651448
44.0,feddyn,0.7366333333333333,0.9469186941782636
45.0,feddyn,0.7424333333333334,0.9433678819735846
46.0,feddyn,0.7423000000000001,0.9296965727210044
47.0,feddyn,0.7439,0.9400248988469442
48.0,feddyn,0.7541000000000001,0.9062012522419294
49.0,feddyn,0.7525333333333334,0.9172246924042704
50.0,feddyn,0.7569333333333333,0.9006567764282226
